learning rate;# of epochs;momentum;Root mean squared error;hidden layers;Correctly Classified Instances;Mean absolute error;Root relative squared error;Relative absolute error;filename
0.5;1000.0;0.5;0.3066;a,t;73.6704;0.1092;82.4848;39.5029;reports/run_1/Feb 18, 2016 3:23:16 PMe56e8d3a-abd4-424b-aed4-93dbe4533d2e
0.1;3000.0;0.8;0.3079;a;73.7757;0.1078;82.8422;38.9964;reports/run_1/Feb 17, 2016 7:17:09 PM56cec204-498e-456f-be92-47a2c10fe1c9
0.2;500.0;0.5;0.3047;t,a;73.8283;0.1071;81.9707;38.7228;reports/run_1/Feb 18, 2016 6:53:41 AMaccbfd47-9d57-4e15-a3e0-a09173270919
0.1;1000.0;0.8;0.3077;a,a;73.8283;0.1066;82.7885;38.5692;reports/run_1/Feb 18, 2016 2:50:03 AMbf1f9305-e377-4232-9231-dc464f2aabf1
0.8;1000.0;0.2;0.3022;t,a;73.881;0.1078;81.2926;39.0065;reports/run_1/Feb 18, 2016 5:46:06 AM954f7c1a-58c4-4b94-b0c8-85aca70bf098
0.5;500.0;0.8;0.2861;a,t;73.881;0.1233;76.9638;44.5775;reports/run_1/Feb 18, 2016 5:23:56 PMb59c2a2c-a4e6-46fc-9d95-c93c44c1c454
0.5;2000.0;0.5;0.3055;a,t;73.881;0.1053;82.1817;38.0828;reports/run_1/Feb 18, 2016 3:35:44 PM092c9689-dcea-4464-8e3d-3e218aecade7
0.2;2000.0;0.5;0.3044;a;73.881;0.1067;81.8833;38.5968;reports/run_1/Feb 17, 2016 6:45:51 PM28901b45-8667-4cba-8611-a69adb8bd28f
0.8;1000.0;0.5;0.298;t,t;73.881;0.112;80.1593;40.5035;reports/run_1/Feb 19, 2016 12:41:00 AM6c3985ad-2237-4173-a0a6-891549dd72d0
0.8;2000.0;0.2;0.3025;a,a;73.9336;0.1059;81.3763;38.3192;reports/run_1/Feb 18, 2016 1:07:45 AM4a1fdddb-28a2-4ad1-95e2-0acf39026e40
0.8;500.0;0.5;0.302;t;73.9863;0.1059;81.2431;38.3037;reports/run_1/Feb 17, 2016 10:07:09 PM5d73724d-9871-4288-a035-bad4ee1ee0ae
0.8;1000.0;0.5;0.2892;t,a;73.9863;0.1171;77.8045;42.3419;reports/run_1/Feb 18, 2016 8:41:18 AM0451fd98-8ee7-437e-8b51-6c1dd1a791e2
0.2;2000.0;0.8;0.3083;a;73.9863;0.107;82.9327;38.7027;reports/run_1/Feb 17, 2016 7:24:13 PM2412ae98-b829-4a60-8bc2-a518377f90dc
0.5;2000.0;0.5;0.3027;t,a;74.039;0.1055;81.432;38.1555;reports/run_1/Feb 18, 2016 8:08:46 AMfe7442a2-0746-4fd2-8b29-f3752aea4e65
0.5;500.0;0.2;0.2968;a;74.039;0.1064;79.8429;38.4742;reports/run_1/Feb 17, 2016 6:09:11 PMdf3e3ff0-955f-41ed-b9f6-c4dd19003181
0.8;1000.0;0.2;0.3049;a,t;74.039;0.107;82.0331;38.6893;reports/run_1/Feb 18, 2016 1:46:31 PM2668b72d-727b-46ea-b6a9-4bb30a3b1571
0.8;500.0;0.2;0.2993;a,t;74.039;0.1094;80.5108;39.5607;reports/run_1/Feb 18, 2016 1:45:00 PMf6bd7011-55fc-42a1-a091-7e79eabe3367
0.8;2000.0;0.5;0.292;t,a;74.0916;0.1121;78.5421;40.5469;reports/run_1/Feb 18, 2016 8:45:13 AM7c9f8aab-5c6c-485b-8968-912953f43f7c
0.8;3000.0;0.5;0.2913;t,a;74.0916;0.1137;78.3575;41.1339;reports/run_1/Feb 18, 2016 8:56:39 AM1c8627a5-6c55-4c32-96d1-e834f0bb7c83
0.1;2000.0;0.8;0.3061;a,t;74.1443;0.1038;82.3578;37.5512;reports/run_1/Feb 18, 2016 4:26:30 PM80125dfb-3e70-4a89-ab1d-fb9fb2f3056c
0.5;2000.0;0.5;0.3038;a,a;74.1443;0.1045;81.714;37.7877;reports/run_1/Feb 18, 2016 2:12:14 AM5e40459b-dff9-452d-a4dd-ce262daf588d
0.2;1000.0;0.8;0.3022;a,t;74.1443;0.1058;81.2968;38.2535;reports/run_1/Feb 18, 2016 4:44:19 PM5c562067-43f3-4d0d-a5c9-303f7890e770
0.5;1000.0;0.5;0.3035;a,a;74.1443;0.1077;81.6547;38.9544;reports/run_1/Feb 18, 2016 2:09:37 AM87888a9d-88f2-4362-a7e2-d817961cd63c
0.5;3000.0;0.5;0.3053;a,a;74.1443;0.1059;82.128;38.2933;reports/run_1/Feb 18, 2016 2:17:55 AM9d979bb1-2c98-4462-abbe-cc1264e4c825
0.2;500.0;0.8;0.296;a,t;74.1443;0.1062;79.6395;38.3962;reports/run_1/Feb 18, 2016 4:41:32 PM8bcd0f3a-d556-4f90-8224-9d7b1d8a1702
0.2;1000.0;0.2;0.298;a;74.1969;0.1072;80.1706;38.7828;reports/run_1/Feb 17, 2016 6:03:03 PMe08e3369-162d-4862-807f-606592cae0ca
0.2;1000.0;0.8;0.3028;a;74.1969;0.1053;81.4687;38.0715;reports/run_1/Feb 17, 2016 7:24:00 PM810b3132-b1c0-4c50-9055-04ffbc452dee
0.1;2000.0;0.8;0.2997;a;74.1969;0.1035;80.6267;37.4515;reports/run_1/Feb 17, 2016 7:16:10 PM5792540a-5564-4cea-8b09-194f4e04b509
0.5;3000.0;0.2;0.3067;a,a;74.2496;0.1047;82.4939;37.8506;reports/run_1/Feb 18, 2016 12:52:23 AM7da30cce-4850-4c16-83b6-e259786d99f5
0.2;3000.0;0.5;0.3067;a,a;74.3023;0.1041;82.5002;37.6495;reports/run_1/Feb 18, 2016 1:52:47 AM62eef5a0-8f4e-40d8-a3be-89992bcf8b3b
0.2;1000.0;0.8;0.2993;a,a;74.3023;0.1059;80.5167;38.3017;reports/run_1/Feb 18, 2016 2:59:44 AM269917f9-8b10-43c0-b73c-56212f42deff
0.5;500.0;0.8;0.2942;a;74.3549;0.1057;79.1528;38.2357;reports/run_1/Feb 17, 2016 7:30:41 PMdf549035-5fd8-41e7-81e4-6c9a3392f3cc
0.8;1000.0;0.2;0.2988;a,a;74.3549;0.1052;80.3691;38.058;reports/run_1/Feb 18, 2016 12:58:59 AMb6643227-60d9-43b6-84c3-7c011eeb67fc
0.5;500.0;0.5;0.2955;a;74.4076;0.1044;79.4809;37.7588;reports/run_1/Feb 17, 2016 6:47:49 PM9faafc8d-5f92-4095-bd02-19db3d8e43b3
0.8;2000.0;0.5;0.2979;t,t;74.4076;0.1132;80.1306;40.9425;reports/run_1/Feb 19, 2016 1:03:59 AM842d49d9-6adb-47fb-867e-95300e265ac0
